eV	nm	n	k
4.98	249.136747	1.31	1.389
4.86	255.2882716	1.33	1.393
4.74	261.7512658	1.35	1.387
4.61	269.132538	1.38	1.372
4.49	276.3253898	1.41	1.331
4.36	284.5644495	1.41	1.264
4.24	292.6181604	1.39	1.161
4.12	301.1410194	1.34	0.964
3.99	310.9526316	1.13	0.616
3.87	320.5945736	0.81	0.392
3.74	331.7382353	0.17	0.829
3.62	342.7350829	0.14	1.142
3.5	354.486	0.1	1.419
3.37	368.1605341	0.07	1.657
3.25	381.7541538	0.05	1.864
3.12	397.6605769	0.05	2.07
3	413.567	0.05	2.275
2.88	430.7989583	0.04	2.462
2.75	451.164	0.04	2.657
2.63	471.7494297	0.05	2.869
2.5	496.2804	0.05	3.093
2.38	521.3029412	0.05	3.324
2.26	548.9827434	0.06	3.586
2.13	582.4887324	0.05	3.858
2.01	617.2641791	0.06	4.152
1.88	659.9473404	0.05	4.483
1.76	704.94375	0.04	4.838
1.64	756.525	0.03	5.242
1.51	821.6562914	0.04	5.727
1.39	892.5906475	0.04	6.312
1.26	984.6833333	0.04	6.992
1.14	1088.334211	0.04	7.795
1.02	1216.373529	0.09	8.828
0.89	1394.046067	0.13	10.1
0.77	1611.3	0.15	11.85
0.64	1938.595313	0.24	14.08
