eV	nm	n	k
4.98	248.9641572	1.33	1.631
4.86	255.1114204	1.33	1.688
4.74	261.5699373	1.35	1.749
4.61	268.9460961	1.38	1.803
4.49	276.133965	1.43	1.847
4.36	284.3673172	1.47	1.869
4.24	292.4154488	1.49	1.878
4.12	300.9324036	1.53	1.889
3.99	310.7372188	1.53	1.893
3.87	320.3724814	1.54	1.898
3.74	331.5084233	1.48	1.883
3.62	342.4976528	1.48	1.871
3.5	354.2404294	1.5	1.866
3.37	367.9054905	1.48	1.895
3.25	381.4896932	1.46	1.933
3.12	397.3850971	1.47	1.952
3	413.280501	1.46	1.958
2.88	430.5005219	1.45	1.948
2.75	450.8514556	1.38	1.914
2.63	471.4226247	1.31	1.849
2.5	495.9366012	1.04	1.833
2.38	520.941808	0.62	2.081
2.26	548.602435	0.43	2.455
2.13	582.0852127	0.29	2.863
2.01	616.8365687	0.21	3.272
1.88	659.4901612	0.14	3.697
1.76	704.4553994	0.13	4.103
1.64	756.0009165	0.14	4.542
1.51	821.0870881	0.16	5.083
1.39	891.9723043	0.17	5.663
1.26	984.0011929	0.22	6.35
1.14	1087.580266	0.27	7.15
1.02	1215.530885	0.35	8.145
0.89	1393.08034	0.43	9.519
0.77	1610.18377	0.56	11.21
0.64	1937.252348	0.92	13.78
